,,,,,,,,,,,利用開始月,2025-01,2025-01,2025-01,2025-01,2025-02,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-05,2025-06,2025-06,2025-06,2025-06,2025-07,2025-07,2025-07,2025-07,2025-08,2025-08,2025-08,2025-08
契約管理ID,契約先顧客,プロダクト,契約アイテム,課金タイプ,契約開始日,契約終了日,設置場所,内容,契約内容,機種,契約者 会社名,金額,数量,金額増減,数量増減,金額,数量,金額増減,数量増減,金額,数量,金額増減,数量増減,金額,数量,金額増減,数量増減,金額,数量,金額増減,数量増減,金額,数量,金額増減,数量増減,金額,数量,金額増減,数量増減,金額,数量,金額増減,数量増減
YKBC,株式会社ＹＫベーキングカンパニー,ケーブルいらず,【２年】ケーブルいらず,継続課金,2023-02-01,2026-01-31,,,,,,54500,11,54500,11,54500,11,0,0,54500,11,0,0,54500,11,0,0,54500,11,0,0,54500,11,0,0,54500,11,0,0,54500,11,0,0
PC0450-20210001,株式会社エレベーターシステムズ,ケーブルいらず,【２年】ケーブルいらず,継続課金,2021-07-01,2026-06-30,,,,,,15000,3,15000,3,15000,3,0,0,15000,3,0,0,15000,3,0,0,15000,3,0,0,15000,3,0,0,15000,3,0,0,15000,3,0,0
CO-210323044611-001-000000,ダイシン株式会社,ケーブルいらず,【５年】ケーブルいらず,継続課金,2021-03-23,2026-03-22,沼津営業所,,,,,8000,2,8000,2,8000,2,0,0,8000,2,0,0,8000,2,0,0,8000,2,0,0,8000,2,0,0,8000,2,0,0,8000,2,0,0
CO-210316113441-001-000000-2,AIGATE株式会社,ケーブルいらず,【２年】ケーブルいらず,継続課金,2021-04-16,2025-04-15,,,,,,5000,1,5000,1,5000,1,0,0,5000,1,0,0,0,1,-5000,0,,,0,-1,,,,,,,,,,,,
CO-210316113441-001-000000,AIGATE株式会社,ケーブルいらず,【２年】ケーブルいらず,継続課金,2021-03-29,2025-03-28,,,,,,5000,1,5000,1,5000,1,0,0,5000,1,0,0,,,-5000,-1,,,,,,,,,,,,,,,,
CO-210119072042-001-000000,東京紙パルプ交易株式会社,ケーブルいらず,【２年】ケーブルいらず,継続課金,2021-02-01,2026-01-31,,,,,,10000,2,10000,2,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0
CO-210115054318-001-000000,株式会社クライス・アンド・カンパニー,ケーブルいらず,【２年】ケーブルいらず,継続課金,2021-02-01,2026-01-31,,,,,,15000,3,15000,3,15000,3,0,0,15000,3,0,0,15000,3,0,0,15000,3,0,0,15000,3,0,0,15000,3,0,0,15000,3,0,0
CO-201216105418-001-000000,株式会社東京フード,ケーブルいらず,【２年】ケーブルいらず,継続課金,2020-12-26,2025-12-25,,,,,,10000,2,10000,2,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0
CO-201211030546-001-000000,高砂熱学工業株式会社,ケーブルいらず,【５年】ケーブルいらず,継続課金,2020-12-21,2025-12-20,,,,,,4000,1,4000,1,4000,1,0,0,4000,1,0,0,4000,1,0,0,4000,1,0,0,4000,1,0,0,4000,1,0,0,4000,1,0,0
CO-201005095335-001-000000,株式会社エレベーターシステムズ,ケーブルいらず,【２年】ケーブルいらず,継続課金,2020-10-05,2025-10-04,,,,,,10000,2,10000,2,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0
CO-200528043149-001-000002,ハザマエンジニアリング,ケーブルいらず,【２年】ケーブルいらず,継続課金,2020-01-01,2025-12-31,,,,,,5000,1,5000,1,5000,1,0,0,5000,1,0,0,5000,1,0,0,5000,1,0,0,5000,1,0,0,5000,1,0,0,5000,1,0,0
CO-200527103636-001-000000,個別指導Axis港川校,ケーブルいらず,【５年】ケーブルいらず,継続課金,2020-06-01,2025-05-31,,,,,,8000,2,8000,2,8000,2,0,0,8000,2,0,0,8000,2,0,0,8000,2,0,0,,,-8000,-2,,,,,,,,
2133,AIGATE株式会社,ケーブルいらず,【２年】ケーブルいらず,継続課金,2021-11-01,2025-10-31,,,,,,10000,2,10000,2,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0,10000,2,0,0
2116,加賀電子株式会社,保守,保守＿PCWL0400,継続課金,2021-12-01,2027-11-30,,PCWL-0400引取修理 (無償期間1年＋5年),引取,,阪急阪神エクスプレス,13125,15,13125,15,13125,15,0,0,13125,15,0,0,13125,15,0,0,13125,15,0,0,13125,15,0,0,13125,15,0,0,13125,15,0,0
2103,協和エクシオ株式会社,保守,保守＿PCWL0400,継続課金,2021-10-27,2027-10-26,,駒井ハルテック向け　PCWL-0400×2　引取り修理（無償期間1年+5年）,引取,,駒井ハルテック,1750,2,1750,2,1750,2,0,0,1750,2,0,0,1750,2,0,0,1750,2,0,0,1750,2,0,0,1750,2,0,0,1750,2,0,0
2051,岡三情報システム,ケーブルいらず,【５年】ケーブルいらず,継続課金,2021-11-01,2026-10-31,名古屋支店,,,,,7500,3,7500,3,7500,3,0,0,7500,3,0,0,7500,3,0,0,7500,3,0,0,7500,3,0,0,7500,3,0,0,7500,3,0,0
2044,岡三情報システム,ケーブルいらず,【５年】ケーブルいらず,継続課金,2021-12-15,2026-12-14,岡三キャピタル　2023/11/28　1台熊本熊本サテライト準備室,,,,,5000,2,5000,2,5000,2,0,0,5000,2,0,0,5000,2,0,0,5000,2,0,0,5000,2,0,0,5000,2,0,0,5000,2,0,0
2042,岡三情報システム,ケーブルいらず,【５年】ケーブルいらず,継続課金,2021-10-01,2026-09-30,広島支店,,,,,2500,1,2500,1,2500,1,0,0,2500,1,0,0,2500,1,0,0,2500,1,0,0,2500,1,0,0,2500,1,0,0,2500,1,0,0
2013,協和エクシオ株式会社,保守,保守＿PCWL0400,継続課金,2021-10-19,2026-10-18,,新菱冷熱工業様（ネットチャート様）向けPCWL-0400×6、引取保守（保証期間1年+4年）×6,引取,,ネットチャート,5400,6,5400,6,5400,6,0,0,5400,6,0,0,5400,6,0,0,5400,6,0,0,5400,6,0,0,5400,6,0,0,5400,6,0,0
2004,西尾レントオール株式会社,PicoManager,PM_レンタルパック,継続課金,2021-08-16,2025-10-15,,PicoManagerレンタルパックA 　80台分　202007,レンタルパックA,,,79200,80,79200,80,79200,80,0,0,79200,80,0,0,79200,80,0,0,79200,80,0,0,79200,80,0,0,79200,80,0,0,79200,80,0,0
2003981,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-08-27,2031-08-26,良品計画様向け（コープさっぽろぬまのはた様）,良品計画様向け（コープさっぽろぬまのはた様）,,PCWL-0400,良品計画様向け（コープさっぽろぬまのはた様）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24,0,-24,0
