Line,Content
44,2003822+
45,2003822+
46,2003821+
47,2003821+
48,2003820+
49,2003820+
50,2003819+
51,2003819+
247,2003580+
249,2003580+
255,2003578-2+
257,2003578-2+
267,2003572+
269,2003572+
422,2003423+
424,2003423+
465,2003345+1800
466,2003345+1800
471,2003325-1+
474,2003325-1+
528,2003168-1+
530,2003168-1+
532,2003167+
534,2003167+
536,2003165-2+
538,2003165-2+
553,2003156-1+
555,2003156-1+
562,2003135+
565,2003135+
648,2002343+7200
649,2002343+7200
729,2002158-1+
730,2002158-1+
731,2002158-1+
765,2002080+
766,2002080+
768,2002072+1200
769,2002072+1200
983,2001757+
984,2001757+
985,2001756-1+
986,2001756-1+
998,2001723-1+
999,2001723-1+
1000,2001715+
1001,2001715+
1017,2001651+
1018,2001651+
1020,2001645+
1021,2001645+
1022,2001645+
1023,2001645+
1050,2001517+
1051,2001517+
1120,2001211+
1121,2001211+
1122,2001211+
1419,2000289-1+2500
1420,2000289-1+2500
1570,1002203+684
1572,1002203+684
