Line,Content
52,2003787-5+
53,2003787-5+
54,2003787-5+
55,2003787-5+
237,2003580+
239,2003580+
245,2003578-2+
247,2003578-2+
257,2003572+
259,2003572+
412,2003423+
414,2003423+
446,2003345+1800
447,2003345+1800
451,2003325-1+
454,2003325-1+
509,2003156-1+
511,2003156-1+
597,2002343+7200
598,2002343+7200
678,2002158-1+
679,2002158-1+
680,2002158-1+
714,2002080+
715,2002080+
717,2002072+1200
718,2002072+1200
929,2001757+
930,2001757+
931,2001756-1+
932,2001756-1+
944,2001723-1+
945,2001723-1+
946,2001715+
947,2001715+
961,2001651+
962,2001651+
963,2001645+
964,2001645+
965,2001645+
966,2001645+
1441,1002203+684
1443,1002203+684
