Line,Content
2,2116+13125
3,2103+1750
4,2013+5400
5,2004+79200
7,2003981+-24
8,2003981+667
9,2003955+-24
10,2003955+667
11,2003943+-24
12,2003943+667
13,2003911+
14,2003911+667
15,2003910+
16,2003910+3335
17,2003907+293760
18,2003904+-28
19,2003904+1123
20,2003902+
21,2003902+6670
22,2003901+
23,2003901+4002
24,2003868+8100
25,2003846+10000
26,2003840+12240
27,2003834+
28,2003834+5336
29,2003822+
31,2003821+
33,2003820+
35,2003819+
37,2003818+
38,2003818+5336
39,2003815+
40,2003804+
41,2003804+3515
42,2003803+5760
43,2003800-2+648
44,2003800-2+-80
45,2003800-2+1740
46,2003800-2+2250
47,2003791+
48,2003791+2922
49,2003790+
50,2003790+1948
55,2003783+2160
56,2003781+900
57,2003781+32400
58,2003780+4320
59,2003777+
60,2003777+667
61,2003774+
62,2003774+702
63,2003771+
64,2003771+468
65,2003771+1100
66,2003767+48240
67,2003766+
68,2003766+6670
69,2003765+
70,2003765+6003
71,2003764+
72,2003764+2001
73,2003763+
74,2003763+5336
75,2003762+
76,2003762+4669
77,2003761+
78,2003761+4669
79,2003760+
80,2003760+4002
81,2003758-2+
82,2003758-2+14364
83,2003751+15000
84,2003751+5040
85,2003747-1+900
86,2003747-1+1200
87,2003744+
88,2003743+4320
89,2003740-1+1650
90,2003738+
91,2003738+814
92,2003734-3+104500
93,2003734-2+132000
94,2003734-1+27500
95,2003729+
96,2003729+5336
97,2003728+
98,2003728+4669
99,2003727+
100,2003727+3335
101,2003726+
102,2003726+1334
103,2003718+
104,2003718+5336
105,2003717+
106,2003717+4669
107,2003716+
108,2003716+3335
109,2003715+
110,2003715+4002
111,2003714+
112,2003714+5336
113,2003713+
114,2003713+6003
115,2003712+
116,2003712+4002
117,2003711+
118,2003711+4002
119,2003708+
120,2003708+3335
121,2003707+
122,2003707+3335
123,2003706+
124,2003706+4669
125,2003705+
126,2003705+3335
127,2003704+
128,2003704+3335
129,2003703+
130,2003703+4002
131,2003702+
132,2003702+4669
133,2003701+13200
134,2003698-1+648
135,2003698-1+550
136,2003693+
137,2003693+1334
138,2003692+
139,2003692+667
140,2003691+
141,2003691+1334
142,2003690+
143,2003690+2668
144,2003689+
145,2003689+1334
146,2003688+
147,2003688+667
148,2003687+
149,2003687+667
150,2003686+
151,2003686+667
153,2003670+
154,2003670+3335
155,2003669+
156,2003669+2668
157,2003668+
158,2003668+4002
159,2003667+
160,2003667+6670
161,2003666+
162,2003666+7337
163,2003665+
164,2003665+5336
165,2003664+
166,2003664+3335
167,2003657-1+900
168,2003657-1+1200
169,2003655+6480
170,2003653+12240
171,2003648+8100
172,2003647+
173,2003647+3978
174,2003647+9350
175,2003645+
176,2003645+2001
177,2003644+
178,2003644+667
179,2003643+
180,2003643+667
181,2003642+
182,2003642+667
183,2003641+
184,2003641+667
185,2003633+5760
186,2003632+
187,2003630+2560
188,2003629+
189,2003629+4002
190,2003628+
191,2003628+2668
192,2003627+
193,2003627+8671
194,2003626+
195,2003626+1334
196,2003625+
197,2003625+4669
198,2003624+
199,2003624+3335
200,2003623+
201,2003623+7337
202,2003621+
203,2003621+2001
204,2003620+
205,2003620+4669
206,2003619+
207,2003619+15341
208,2003618+
209,2003618+1334
210,2003617+
211,2003617+2668
212,2003616+
213,2003616+2668
214,2003615+
215,2003615+11339
216,2003611+
217,2003611+1334
218,2003606+
219,2003606+702
220,2003599+648
221,2003594-2+5500
222,2003590+
223,2003590+2001
224,2003589+
225,2003589+2001
226,2003588+
227,2003588+2001
228,2003587+
229,2003587+2001
230,2003586+
231,2003586+3335
232,2003583+
233,2003583+2001
234,2003582+
235,2003582+4002
236,2003580+
237,2003580+2338
239,2003580+1628
240,2003579-1+
241,2003579-1+870
242,2003579-1+900
243,2003578-2+240
244,2003578-2+
245,2003578-2+1740
247,2003578-2+1170
248,2003578-2+2250
249,2003576+
250,2003576+1305
251,2003575+
252,2003575+1834
253,2003573-1+
254,2003573-1+234
255,2003573-1+550
256,2003572+
257,2003572+2090
259,2003572+20570
260,2003571+19800
261,2003569+
262,2003569+40544
263,2003568-2+5832
264,2003568-2+
265,2003568-2+1740
266,2003568-2+5850
267,2003558+
268,2003558+2001
269,2003557+
270,2003557+3335
271,2003556+
272,2003556+2001
273,2003552+14300
274,2003551+10800
275,2003550+
276,2003550+2668
277,2003549+
278,2003549+4002
279,2003548+
280,2003548+4669
281,2003544+12240
282,2003543+6600
283,2003542+2880
284,2003540+2160
285,2003534+16560
286,2003534+8640
287,2003531+2700
288,2003531+
289,2003531+3668
290,2003530+
291,2003530+4126
292,2003530+2700
293,2003529-2+
294,2003529-2+936
295,2003529-2+1800
296,2003527+2700
297,2003523+
298,2003523+2001
299,2003522+
300,2003522+2668
301,2003521+
302,2003521+5336
303,2003520+
