Line,Content
2,YKBC+54500
3,PC0450-20210001+15000
4,CO-210323044611-001-000000+8000
5,CO-210316113441-001-000000-2+
6,CO-210316113441-001-000000+
7,CO-210119072042-001-000000+10000
8,CO-210115054318-001-000000+15000
9,CO-201216105418-001-000000+10000
10,CO-201211030546-001-000000+4000
11,CO-201005095335-001-000000+10000
12,CO-200528043149-001-000002+5000
13,CO-200527103636-001-000000+
14,2133+10000
17,2051+7500
18,2044+5000
19,2042+2500
163,2003676+
412,2003446+
431,2003406+
440,2003391+
442,2003390+
444,2003389+
446,2003388+
448,2003387+
450,2003386+
452,2003360+
454,2003358+
467,2003331+
477,2003321+
479,2003320+
481,2003319+
483,2003318+
485,2003317+
487,2003316+
492,2003274+
495,2003270+
498,2003261+
500,2003255+
502,2003239+
504,2003238+
506,2003237+
508,2003236+
510,2003235+
518,2003215+
520,2003214+
523,2003190-2+
528,2003168-1+
532,2003167+
536,2003165-2+
542,2003162+
561,2003137+
562,2003135+
572,2003124+
574,2003123-2+
597,2003051+
604,2002998-1+
669,2002265+
670,2002264+
718,2002179+
719,2002178+
720,2002177+
721,2002176+
722,2002175+
779,2002060+5000
794,2002045+2500
915,2001875+2500
1002,2001697+
1014,2001679-1+
1019,2001646+
1028,2001635+
1034,2001620+
1037,2001611+
1039,2001604+
1046,2001522-1+
1049,2001520+
1050,2001517+
1052,2001516+
1053,2001515+
1054,2001510+
1060,2001485+
1062,2001480+
1063,2001479+
1073,2001457+
1074,2001451+
1075,2001447+20000
1089,2001393-1+
1105,2001346-2+
1106,2001346-1+
1107,2001339+
1110,2001328+
1114,2001298-1+
1120,2001211+
1279,2000859+
1337,2000672-1+2500
1338,2000672-1+5000
1339,2000665-1+
1345,2000595+10000
1346,2000595+2500
1349,2000571+9000
1361,2000554+2500
1367,2000480+
1389,2000365-1+5000
1418,2000294+2500
1419,2000289-1+2500
1429,2000272+2500
1430,2000267+2500
1431,2000266+2500
1432,2000265+2500
1433,2000264+2500
1434,2000263+
1435,2000262+2500
1436,2000261+2500
1443,2000165+17500
1463,2000023+10000
1467,1880+5000
1470,1836+2500
1471,1811+2500
1472,1794+270000
1473,1766+10000
1474,1729+
1490,1218_2+
1491,1218+
1492,102571-1+2500
1493,1002772+
1494,1002771+
1495,1002770+
1496,1002769+
1497,1002768+
1498,1002767+
1499,1002765+
1500,1002764+
1501,1002763+
1502,1002762+
1515,1002705+5000
1516,1002688+5000
1517,1002688+2500
1544,1002571-2+2500
1545,1002571+2500
1552,1002489+5000
1557,1002318+
1558,1002311-1+
1559,1002311+
1560,1002310+
1561,1002303+
1562,1002298+
1564,1002288+
1566,1002248_2+
1567,1002248+
1568,1002235+2500
1574,+7964264
